TIME,JUMPS,y_position,y_velocity
0.0,0,1.0,0.0
1.0638260267131511e-13,0,1.0,-1.0436133322056013e-12
1.0639324093158224e-09,0,1.0,-1.0437176935388219e-08
1.1702192676447332e-08,0,0.9999999999999999,-1.1479851015594832e-07
1.1808479534776243e-07,0,0.9999999999999877,-1.1584118423615494e-06
1.1819108220609135e-06,0,0.9999999999987553,-1.159454516441756e-05
1.1820171089192423e-05,0,0.9999999998754096,-0.00011595587838497768
0.00011820277376050752,0,0.9999999930908365,-0.0011595692105905789
0.0006707477712131027,0,0.999999640698333,-0.006580035635600538
0.0016795280224346152,0,0.9999957369180725,-0.016476169900083576
0.0026883082736561276,0,0.9999841075956664,-0.026372304164566616
0.00369708852487764,0,0.9999624952484507,-0.03626843842904966
0.00490840858391242,0,0.9999245562544425,-0.04815148820818087
0.0061197286429472,0,0.9998734264791835,-0.060034537987312064
0.007331048701981981,0,0.9998079025273646,-0.07191758776644326
0.008618479750793438,0,0.9997229628955386,-0.08454728635528366
0.009905910799604895,0,0.9996222440270423,-0.09717698494412405
0.011193341848416352,0,0.9995052652924455,-0.10980668353296444
0.012507058922125463,0,0.9993693063028168,-0.12269424802605082
0.013820775995834573,0,0.9992165860810956,-0.1355818125191372
0.014862470422428317,0,0.9990820637146993,-0.14580083484402184
0.015904164849022063,0,0.9989355063469502,-0.15601985716890648
0.01694585927561581,0,0.9987783038805998,-0.16623887949379113
0.018169729294673677,0,0.9985811024775093,-0.17824504438074887
0.019393599313731545,0,0.9983703007042706,-0.19025120926770658
0.020617469332789413,0,0.9981448049457828,-0.2022573741546643
0.021908614587817486,0,0.997891412148261,-0.21492350910648972
0.023199759842845558,0,0.9976220915893055,-0.2275896440583151
0.02449090509787363,0,0.9973364172103073,-0.2402557790101405
0.025804932484108818,0,0.997029036361089,-0.25314638766910774
0.027118959870344007,0,0.9967048643813667,-0.2660369963280749
0.02815583958435694,0,0.9964356990220071,-0.2762087863225418
0.029192719298369873,0,0.9961545771959874,-0.2863805763170087
0.030229599012382806,0,0.9958629084472672,-0.2965523663114756
0.03145039041260267,0,0.9955070886856343,-0.3085283299476324
0.03267118181282253,0,0.9951377500304183,-0.32050429358378923
0.033891973213042395,0,0.9947537912217859,-0.33248025721994606
0.03518057237085348,0,0.9943330735506712,-0.3451214149580728
0.036469171528664565,0,0.9938964950786212,-0.35776257269619954
0.03775777068647565,0,0.9934436272213562,-0.3704037304343263
0.03906922303154839,0,0.9929661495184344,-0.38326907793948983
0.04038067537662113,0,0.9924719465324547,-0.3961344254446534
0.04141542918653624,0,0.9920687011601608,-0.40628536031992063
0.042450182996451355,0,0.9916535476949252,-0.4164362951951879
0.04348493680636647,0,0.9912278905111532,-0.4265872300704551
0.04470299769801058,0,0.9907144635177222,-0.43853640741748395
0.045921058589654694,0,0.9901875768830917,-0.4504855847645127
0.047139119481298807,0,0.9896461354228474,-0.4624347621115415
0.048424549585558106,0,0.9890593877745147,-0.4750448314343253
0.049709979689817406,0,0.9884568555286785,-0.48765490075710904
0.050995409794076706,0,0.9878381139201179,-0.5002649700798928
0.05230331692064608,0,0.9871920602003443,-0.5130955389915383
0.05361122404721546,0,0.9865293694845451,-0.5259261079031838
0.054642656675295456,0,0.9859935290706008,-0.5360444619846486
0.05567408930337545,0,0.9854458535226792,-0.5461628160661134
0.05670552193145545,0,0.9848877415742157,-0.5562811701475782
0.05791967847231056,0,0.9842184717858219,-0.5681920458133668
0.05913383501316567,0,0.9835358285307342,-0.5801029214791554
0.060347991554020784,0,0.9828387236080496,-0.5920137971449441
0.061629095801856125,0,0.9820879217544555,-0.6045814298162088
0.06291020004969146,0,0.9813214401403558,-0.6171490624874735
0.0641913042975268,0,0.9805388580786557,-0.6297166951587382
0.06549451684362735,0,0.9797263925293218,-0.6425012102359846
0.0667977293897279,0,0.9788974073614797,-0.655285725313231
0.0678249775356133,0,0.978230832749831,-0.6653630296243668
0.0688522256814987,0,0.9775525157573933,-0.6754403339355025
0.06987947382738409,0,0.9768638468727865,-0.6855176382466383
0.07108868444935042,0,0.9760410044547803,-0.697379994448128
0.07229789507131675,0,0.9752048972015069,-0.7092423506496177
0.07350710569328307,0,0.9743544458611132,-0.7211047068511075
0.07478277605758472,0,0.9734421201851534,-0.7336190331249067
0.07605844642188637,0,0.9725142462034866,-0.746133359398706
0.07733411678618803,0,0.9715704080666632,-0.7586476856725052
0.07863150438356005,0,0.9705942659343453,-0.7713750580027248
0.07992889198093207,0,0.9696017496686745,-0.7841024303329444
0.08095106844589615,0,0.9688067634284955,-0.7941299814542421
0.08197324491086024,0,0.9680001474147093,-0.8041575325755398
0.08299542137582432,0,0.9671832814741657,-0.8141850836968375
0.08419863767575551,0,0.9662096733667795,-0.8259886355991626
0.08540185397568671,0,0.9652229314898917,-0.8377921875014877
0.08660507027561791,0,0.9642219873869579,-0.8495957394038127
0.08787419919031404,0,0.9631512309827855,-0.8620458940569818
0.08914332810501018,0,0.9620650840384741,-0.874496048710151
0.09041245701970631,0,0.9609631362429,-0.8869462033633201
0.09170289256551943,0,0.9598266223959137,-0.8996053760677468
0.09299332811133255,0,0.9586739075646504,-0.9122645487721737
0.09400955230854681,0,0.9577532745347368,-0.9222337081468455
0.09502577650576106,0,0.9568211437755226,-0.9322028675215173
0.09604200070297532,0,0.955878882115326,-0.9421720268961891
0.09723818001940635,0,0.954757837875356,-0.9539065459903774
0.09843435933583737,0,0.9536238128897485,-0.9656410650845657
0.0996305386522684,0,0.9524757513151123,-0.977375584178754
